epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.459,0.86831,1.51271,1.23506,0.77848,0.71256,0.79432,0.53441,0.97633,1.22966,1.41421,0.00041351,0.00041351,0.00041351
2,411.716,1.03158,1.28224,1.31737,0.52359,0.63106,0.58672,0.33873,1.27907,2.04689,1.60467,0.000797302,0.000797302,0.000797302
3,543.014,1.083,1.33738,1.33788,0.67875,0.55037,0.63174,0.38315,1.21324,2.51343,1.57371,0.00114809,0.00114809,0.00114809
4,694.968,1.08771,1.27681,1.35869,0.62792,0.65114,0.74348,0.46926,1.27785,1.66167,1.66661,0.0011015,0.0011015,0.0011015
5,849.651,1.04836,1.22924,1.3257,0.80578,0.6675,0.80603,0.5386,1.11617,1.1631,1.43168,0.001052,0.001052,0.001052
6,1011.01,1.03817,1.19641,1.33557,0.79997,0.74168,0.83296,0.604,1.09435,1.04902,1.49078,0.0010025,0.0010025,0.0010025
7,1181.25,1.00841,1.09096,1.30269,0.84174,0.7219,0.86136,0.61706,1.0361,0.93531,1.42367,0.000953,0.000953,0.000953
8,1377.87,0.96584,1.02463,1.26378,0.89631,0.8113,0.89927,0.67236,0.96852,0.87667,1.36188,0.0009035,0.0009035,0.0009035
9,1548.31,0.91232,0.95739,1.22342,0.86219,0.68367,0.82095,0.5967,1.07384,1.0756,1.44408,0.000854,0.000854,0.000854
10,1693.02,0.91647,0.93364,1.23686,0.80283,0.79311,0.86818,0.64442,0.95682,0.8795,1.33935,0.0008045,0.0008045,0.0008045
11,1861.59,0.88781,0.91363,1.22574,0.88957,0.72775,0.8568,0.64237,0.97493,0.88103,1.37189,0.000755,0.000755,0.000755
12,1929.27,0.84625,0.85171,1.19472,0.92487,0.80676,0.91448,0.69209,0.91057,0.72503,1.31795,0.0007055,0.0007055,0.0007055
13,2103.55,0.84352,0.82302,1.19602,0.89812,0.82844,0.91348,0.68656,0.9956,0.71629,1.38928,0.000656,0.000656,0.000656
14,2271.33,0.82021,0.781,1.17807,0.87813,0.77619,0.89693,0.70534,0.895,0.77661,1.28323,0.0006065,0.0006065,0.0006065
15,2394.74,0.79373,0.74742,1.1616,0.9145,0.85102,0.92471,0.71089,0.88833,0.68578,1.28703,0.000557,0.000557,0.000557
16,2499.82,0.73434,0.63851,1.13715,0.90929,0.84385,0.90624,0.70675,0.91959,0.67775,1.34246,0.0005075,0.0005075,0.0005075
17,2570.23,0.71238,0.61337,1.12234,0.92975,0.84386,0.92164,0.71588,0.86598,0.72123,1.29042,0.000458,0.000458,0.000458
18,2682.07,0.66706,0.56595,1.08904,0.93725,0.86407,0.93391,0.74604,0.84058,0.63396,1.24087,0.0004085,0.0004085,0.0004085
19,2804.58,0.65952,0.54249,1.06759,0.86494,0.88219,0.91651,0.736,0.85781,0.61775,1.2685,0.000359,0.000359,0.000359
20,2894.07,0.63273,0.5224,1.05711,0.96329,0.86122,0.93904,0.75415,0.8367,0.56649,1.26273,0.0003095,0.0003095,0.0003095
21,2936.9,0.61643,0.48863,1.04491,0.93121,0.87023,0.93343,0.76105,0.81486,0.56928,1.23958,0.00026,0.00026,0.00026
22,2981.49,0.57908,0.45739,1.01942,0.95681,0.88446,0.94277,0.7708,0.82422,0.54024,1.24628,0.0002105,0.0002105,0.0002105
23,3030.68,0.55816,0.42723,1.0075,0.93612,0.88073,0.92936,0.76503,0.81776,0.54821,1.2476,0.000161,0.000161,0.000161
24,3074.04,0.5485,0.4134,0.99366,0.96329,0.87466,0.94976,0.78218,0.76546,0.57834,1.18713,0.0001115,0.0001115,0.0001115
25,3119.12,0.52339,0.39623,0.97526,0.96189,0.86772,0.94563,0.78217,0.74754,0.54792,1.19096,6.2e-05,6.2e-05,6.2e-05
